月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
7,10,12,25.88333333,0.013395459,728.7525086,223.7022126,66.27510965,77,-10
7,10,13,27.41666667,0.013752222,693.4297545,236.3684878,71.53117586,73,45
7,10,14,28.78333333,0.015683311,677.5444728,227.553995,64.64405251,63,70
7,10,15,29,0.01433842,653.5075978,208.9586772,75.50873954,51,83
7,10,16,28.35,0.015035875,548.5528004,202.589051,66.96454018,38,88
7,10,17,27.81666667,0.014565318,375.9850504,184.2278743,67.57422788,26,80
7,10,18,26.96666667,0.014985839,196.0117239,124.5839668,60.0590302,14,73
7,10,19,24.88333333,0.014825278,0,34.12783835,50.46672968,3,65
7,10,20,23.43333333,0.013748049,0,0,51.09975854,-8,56
7,10,21,22.55,0.013717525,0,0,46.90326659,-17,45
7,10,22,22.13333333,0.013366822,0,0,47.50360154,-25,33
7,10,23,21.88333333,0.013328314,0,0,46.55895578,-31,19
7,10,24,22.08333333,0.014689281,0,0,37.35267461,-33,3
7,11,1,22.25,0.01518832,0,0,34.56869273,-32,-14
7,11,2,22.08333333,0.015544758,0,0,31.19887525,-27,-29
7,11,3,21.83333333,0.015303666,0,0,31.67437044,-20,-42
7,11,4,21.66666667,0.015478615,0,0,29.60314639,-11,-53
7,11,5,21.31666667,0.015632636,0,0,26.78437691,-1,-62
7,11,6,21.25,0.014591798,12.7438388,61.68554117,33.94480284,11,-70
7,11,7,22.21666667,0.014295382,29.37857419,150.2979727,40.91324024,22,-78
7,11,8,24.01666667,0.014634431,476.1139889,194.9190635,47.45008301,35,-85
7,11,9,25.88333333,0.014037542,539.8220203,230.2271847,61.41040092,47,-86
7,11,10,27.55,0.015045436,649.279084,226.4902752,62.68090169,59,-75
7,11,11,28.8,0.014933329,691.8461511,230.7026117,70.09116029,70,-55
7,11,12,30.08333333,0.016385099,745.3167716,216.3824064,66.70368557,77,-10
7,11,13,31.2,0.016905487,721.4020483,223.8189805,69.1915503,73,45
7,11,14,31.71666667,0.016513406,648.4448548,239.9523478,74.6821768,63,70
7,11,15,31.51666667,0.01602331,606.1799185,226.9434815,76.97852097,51,83
7,11,16,29.76666667,0.014732738,490.7362564,220.2937465,76.70937273,38,88
7,11,17,28.46666667,0.01489056,377.7473011,183.6385881,68.63293947,26,80
7,11,18,26.9,0.014697825,173.3954538,125.2965894,61.80343174,14,73
7,11,19,25.51666667,0.014988079,0,29.05840595,52.53297399,3,65
7,11,20,24.58333333,0.014953317,0,0,48.0078748,-8,56
7,11,21,24.01666667,0.015211059,0,0,43.27357241,-18,46
7,11,22,23.88333333,0.016042034,0,0,36.72657542,-25,33
7,11,23,23.68333333,0.015467614,0,0,39.75726598,-31,19
7,11,24,23.53333333,0.01551203,0,0,38.68538088,-33,3
7,12,1,23.16666667,0.015346994,0,0,38.01494723,-32,-14
7,12,2,22.5,0.01525117,0,0,35.36355382,-28,-29
7,12,3,22.65,0.016103959,0,0,30.09642331,-20,-42
7,12,4,22.63333333,0.016087256,0,0,30.12933907,-11,-53
7,12,5,22.3,0.015930232,0,0,29.56264397,-1,-62
7,12,6,22.7,0.015619973,42.30169087,73.31438468,33.7388116,10,-70
