L_H_d_t_i[0],L_H_d_t_i[1],L_H_d_t_i[2],L_H_d_t_i[3],L_H_d_t_i[4],L_H_d_t_i[5],L_H_d_t_i[6],L_H_d_t_i[7],L_H_d_t_i[8],L_H_d_t_i[9],L_H_d_t_i[10],L_H_d_t_i[11],L_CS_d_t_i[0],L_CS_d_t_i[1],L_CS_d_t_i[2],L_CS_d_t_i[3],L_CS_d_t_i[4],L_CS_d_t_i[5],L_CS_d_t_i[6],L_CS_d_t_i[7],L_CS_d_t_i[8],L_CS_d_t_i[9],L_CS_d_t_i[10],L_CS_d_t_i[11],L_CL_d_t_i[0],L_CL_d_t_i[1],L_CL_d_t_i[2],L_CL_d_t_i[3],L_CL_d_t_i[4],L_CL_d_t_i[5],L_CL_d_t_i[6],L_CL_d_t_i[7],L_CL_d_t_i[8],L_CL_d_t_i[9],L_CL_d_t_i[10],L_CL_d_t_i[11]
1.355437,0.742138,0.259689,0.311514,0.419566,0.079103,0,0.030555,0.215788,0.306375,0.171972,0.064263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.374457,0.752371,0.256951,0.312781,0.42279,0.08237,0,0.037698,0.228331,0.306895,0.1775,0.065458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45153,0.792783,0.270818,0.330529,0.445837,0.087268,0,0.042469,0.244939,0.322219,0.187319,0.068688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.864079,1.014096,0.352837,0.42864,0.574569,0.111042,0,0.055576,0.314918,0.412842,0.238266,0.087135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214628,1.204846,0.419341,0.50894,0.682182,0.132263,0,0.066889,0.37728,0.489829,0.283808,0.103593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.183135,1.19198,0.405961,0.495468,0.668125,0.13208,0,0.066747,0.377838,0.482582,0.282969,0.103117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.188737,1.188399,0.628382,0.508661,0.676041,0.118947,0,0,0.187485,0.48764,0.278293,0.102215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.866854,1.187676,0.895204,0.439444,0.756944,0.115102,0,0,0.083742,0.570047,0.301686,0.112103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.389663,0,0,0,0.531994,0,0,0,2.451264,0.615053,0.459625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.332322,0,0,0,0.941241,0,0,0,3.692252,0.053513,0.547072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.812449,0,0,0,3.112888,0,0.149863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.989695,0,0,0,4.429677,0,0.250628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.093471,0,0,0,5.386175,0,0.378353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.768365,0,0,0,5.821259,0,0.369177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.873517,1.532193,1.148742,0.162363,0.823661,0.220919,0,0,0.22693,1.902732,0.050173,0.13637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.45611,1.686923,0,1.705715,0,0,0,0,1.916079,0.178462,0.167511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.970519,1.134845,0.832541,0,0.860699,0,0,0,2.213438,0.604651,0.111014,0.063494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.346575,1.381721,0.940038,0,0.948728,0.024459,0,0,0.752829,0.788584,0.159756,0.04891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
